tweets,health_index,depression_risk,anxiety_risk,stress_level,social_isolation,self_esteem_issues,emotional_instability,emotional_signature
"Life is beautiful, enjoying every moment ||| Excited about my new project! ||| Had a wonderful lunch with friends ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊",99,20,20,5,19,17,5,"Calm, joyful, optimistic"
I can't stand traffic anymore ||| I can't stand traffic anymore ||| This is so frustrating! ||| People are driving me crazy ||| Angry and exhausted 😡,42,30,66,66,41,49,79,"Irritable, stressed, impatient"
Excited about my new project! ||| I had a great day today! ||| Had a wonderful lunch with friends ||| Feeling blessed and happy 😊 ||| Excited about my new project!,87,4,19,14,11,6,8,"Calm, joyful, optimistic"
"I had a great day today! ||| Feeling blessed and happy 😊 ||| Feeling blessed and happy 😊 ||| Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends",82,6,8,28,14,8,0,"Calm, joyful, optimistic"
Feeling down today... ||| Nothing seems to go right ||| Feeling lonely and anxious ||| Nothing seems to go right ||| Feeling down today...,39,80,65,46,56,40,76,"Sad, withdrawn, anxious"
"Life is beautiful, enjoying every moment ||| Excited about my new project! ||| I had a great day today! ||| I had a great day today! ||| Excited about my new project!",94,11,17,23,8,13,10,"Calm, joyful, optimistic"
I hate Mondays ||| I hate Mondays ||| Feeling down today... ||| Feeling down today... ||| Nothing seems to go right,54,69,75,59,46,69,73,"Sad, withdrawn, anxious"
"Life is beautiful, enjoying every moment ||| Excited about my new project! ||| Excited about my new project! ||| I had a great day today! ||| I had a great day today!",80,15,3,11,4,0,12,"Calm, joyful, optimistic"
"I had a great day today! ||| I had a great day today! ||| Life is beautiful, enjoying every moment ||| Had a wonderful lunch with friends ||| I had a great day today!",91,7,11,14,10,5,13,"Calm, joyful, optimistic"
Nothing seems to go right ||| Feeling down today... ||| Nothing seems to go right ||| Life is tough sometimes ||| I hate Mondays,31,70,80,47,54,62,56,"Sad, withdrawn, anxious"
I can't stand traffic anymore ||| I can't stand traffic anymore ||| I can't stand traffic anymore ||| People are driving me crazy ||| Why does this always happen to me?,63,24,64,83,32,34,89,"Irritable, stressed, impatient"
This is so frustrating! ||| This is so frustrating! ||| Angry and exhausted 😡 ||| Why does this always happen to me? ||| This is so frustrating!,40,31,56,88,32,41,86,"Irritable, stressed, impatient"
Excited about my new project! ||| I had a great day today! ||| Excited about my new project! ||| Feeling blessed and happy 😊 ||| Excited about my new project!,84,19,1,3,14,13,6,"Calm, joyful, optimistic"
Feeling down today... ||| Life is tough sometimes ||| Nothing seems to go right ||| Nothing seems to go right ||| Feeling down today...,59,64,70,64,76,43,71,"Sad, withdrawn, anxious"
Why does this always happen to me? ||| Angry and exhausted 😡 ||| People are driving me crazy ||| Why does this always happen to me? ||| This is so frustrating!,58,32,70,65,27,26,80,"Irritable, stressed, impatient"
